#,Name,Country,Nick,GP_t1 position,GP_t1 points,GP_t1 rank. points,GP_t2 position,GP_t2 points,GP_t2 rank. points,GP_t3 position,GP_t3 points,GP_t3 rank. points,GP_t4 position,GP_t4 points,GP_t4 rank. points,GP_t5 position,GP_t5 points,GP_t5 rank. points,GP_t6 position,GP_t6 points,GP_t6 rank. points,GP_t7 position,GP_t7 points,GP_t7 rank. points,GP_t8 position,GP_t8 points,GP_t8 rank. points,Points,Played GPs,Total GPs,year
14.,Rohan Rao,India,Rohan Rao,14,578,578,24,490,490,13,702,702,39,491,491,19,680.5,680.5,3,868.2,868.2,18,653.7,653.7,13,724.5,724.5,4206.9,8,8,2016
15.,Jan Zverina,Czech Rep.,,26,528,528,9,583.3,583.3,14,700.8,700.8,42,483,483,16,695,695,10,779.8,779.8,29,556,556,8,813.2,813.2,4128.1,8,8,2016
16.,Jan Novotný,Czech Rep.,KrtekHonza,15,578,578,25,487,487,4,777.3,777.3,21,634.7,634.7,18,685,685,17,698.3,698.3,17,668,668,24,638.3,638.3,4101.6,8,8,2016
17.,Takuya Sugimoto,Japan,sugitakukun,17,558,558,20,509,509,11,721.7,721.7,19,665.8,665.8,23,601.2,601.2,12,773.8,773.8,27,560,560,17,692.8,692.8,4015.3,8,8,2016
18.,Jakub Hrazdira,Czech Rep.,Gotroch,9,662.7,662.7,23,496,496,18,630.3,630.3,40,490,490,43,488,488,14,743,743,9,756.5,756.5,16,704.3,704.3,3992.8,8,8,2016
19.,Timothy Doyle,France,Timothy,6,708.2,708.2,,,,12,707,707,3,830.5,830.5,50,443,443,22,650.6,650.6,49,470,470,36,517,517,3883.3,7,8,2016
20.,Branko Ćeranić,Serbia,skywalker,16,564,564,,,,17,669.5,669.5,10,768.3,768.3,30,552,552,26,622.7,622.7,31,543,543,27,622.3,622.3,3798.8,7,8,2016
21.,Yuhei Kusui,Japan,,24,528,528,,,,8,734.3,734.3,13,730.7,730.7,27,558.4,558.4,,,,23,569,569,19,678.3,678.3,3798.7,6,8,2016
22.,Ken Endo,Japan,EKBM,10,662.3,662.3,52,366,366,21,600,600,22,630,630,36,530,530,21,656.3,656.3,24,569,569,23,639.2,639.2,3756.8,8,8,2016
23.,David Jones,Canada,WMathie,35,476,476,10,575,575,24,551,551,12,740.8,740.8,20,667.5,667.5,25,633.7,633.7,38,509,509,31,544,544,3712,8,8,2016
24.,Martin Merker,Germany,MaM,20,558,558,19,520,520,36,502,502,31,539,539,21,636.8,636.8,15,709.3,709.3,28,560,560,15,708.7,708.7,3711.8,8,8,2016
25.,Keisui Okuma,Japan,,41,453,453,22,497,497,23,562,562,,,,17,686,686,23,644.7,644.7,16,678.3,678.3,26,623.7,623.7,3691.7,7,8,2016
26.,Salih Alan,Turkey,bskbri,21,555,555,13,554,554,20,603,603,15,712.5,712.5,38,518,518,53,445,445,,,,21,669,669,3611.5,7,8,2016
27.,Weifan Wang,China,qw014052,62,377,377,42,384,384,26,530,530,16,690,690,7,800.5,800.5,50,462,462,25,569,569,32,540,540,3591.5,8,8,2016
28.,Yong Gui,China,righthand,51,410,410,21,507,507,29,525,525,37,508,508,14,705.7,705.7,27,608.7,608.7,20,643.7,643.7,,,,3498.1,7,8,2016
29.,Pavel Jaselský,Slovakia,pali7,88,329,329,29,456,456,62,405,405,52,444,444,78,358,358,8,787,787,11,751.7,751.7,25,633.5,633.5,3477.2,8,8,2016
30.,Pavel Kadlečík,Czech Rep.,kousek-nebe,,,,,,,22,577,577,43,482,482,25,576,576,24,635.8,635.8,43,492,492,18,678.7,678.7,3441.5,6,8,2016
31.,Vincent Bertrand,Belgium,,39,459,459,27,470,470,27,530,530,24,616.7,616.7,22,612.2,612.2,18,677.2,677.2,53,467,467,,,,3373.1,7,8,2016
32.,Yao Siyu,China,bdts.cn,43,452,452,,,,40,483,483,26,607.2,607.2,33,535,535,30,575,575,12,718.7,718.7,,,,3370.9,6,8,2016
33.,Taro Arimatsu,Japan,tarotaro,37,472,472,28,457,457,38,494,494,69,393,393,37,527,527,1,925.5,925.5,56,459,459,42,486,486,3363.5,8,8,2016
34.,Jason Zuffranieri,USA,Ziti,12,656.5,656.5,16,529,529,28,530,530,50,454,454,39,518,518,73,384,384,19,651,651,,,,3338.5,7,8,2016
35.,Sumet Juariyamark,Thailand,MrLiang,29,524,524,11,573,573,31,511,511,29,546,546,28,556.4,556.4,41,488,488,21,613.3,613.3,38,512,512,3324.7,8,8,2016
36.,Bram de Laat,Netherlands,Para,23,529,529,17,525,525,30,517,517,27,600,600,31,547,547,,,,,,,35,530,530,3248,6,8,2016
37.,Sebastian Matschke,Germany,Semax,45,449,449,14,537,537,,,,30,546,546,32,535,535,37,506,506,32,538,538,29,585,585,3247,7,8,2016
38.,Klára Vytisková,Czech Rep.,QKV,28,524,524,49,372,372,32,511,511,101,311,311,35,530,530,40,506,506,26,569,569,28,600,600,3240,8,8,2016
39.,Yuta Nagata,Japan,nyuta,33,480,480,41,385,385,39,485,485,28,567,567,24,600,600,31,544,544,36,525,525,41,487,487,3208,8,8,2016
40.,m y,France,,129,270,270,45,380,380,35,511,511,17,680.7,680.7,29,552,552,56,440,440,58,454,454,43,477,477,3114.7,8,8,2016
41.,Gyimesi Zoltán,Hungary,Hunsudoku,18,558,558,32,426,426,25,534,534,38,508,508,69,384,384,35,506,506,63,439,439,50,426,426,2971,8,8,2016
42.,Robert Vollmert,Germany,rob,34,480,480,37,396,396,37,500,500,61,422,422,51,441,441,42,488,488,47,486,486,30,565,565,2960,8,8,2016
43.,Kishore Sridharan,India,kishy72,44,452,452,78,308,308,57,437,437,60,425,425,42,489,489,39,506,506,42,494,494,33,534,534,2912,8,8,2016
44.,Tawan Sunathvanichkul,Thailand,,36,475,475,30,450,450,136,280,280,44,481,481,34,533,533,64,404,404,37,521,521,56,404,404,2864,8,8,2016
45.,Takeshi Kawasaki,Japan,,47,444,444,64,335,335,42,481,481,153,244,244,40,515,515,66,399,399,39,506,506,40,492,492,2837,8,8,2016
46.,Stefan Gaspar,Slovakia,pista,42,453,453,44,381,381,49,462,462,35,508,508,26,561,561,87,345,345,54,460,460,,,,2825,7,8,2016
47.,Eva Schuckert,Austria,,70,359,359,58,350,350,47,465,465,41,489,489,56,420,420,44,468,468,34,531,531,47,442,442,2815,8,8,2016
48.,Krystian Swiderski,Poland,karzym,49,415,415,39,391,391,43,479,479,49,459,459,55,428,428,51,462,462,41,501,501,,,,2744,7,8,2016
49.,Ryusuke Nishiyama,Japan,,,,,98,268,268,48,463,463,74,380,380,53,433,433,45,468,468,66,436,436,37,517,517,2697,7,8,2016
50.,Ran Liao,China,snakeeyes,59,379,379,26,480,480,70,380,380,58,427,427,62,399,399,48,467,467,51,468,468,57,401,401,2642,8,8,2016
#,Name,Country,Nick,GP_t1 position,GP_t1 points,GP_t1 rank. points,GP_t2 position,GP_t2 points,GP_t2 rank. points,GP_t3 position,GP_t3 points,GP_t3 rank. points,GP_t4 position,GP_t4 points,GP_t4 rank. points,GP_t5 position,GP_t5 points,GP_t5 rank. points,GP_t6 position,GP_t6 points,GP_t6 rank. points,GP_t7 position,GP_t7 points,GP_t7 rank. points,GP_t8 position,GP_t8 points,GP_t8 rank. points,Points,Played GPs,Total GPs,2016
51.,Wilbert Zwart Wilbert,Netherlands,Space_wuppie,131,268,268,47,379,379,55,441,441,51,454,454,54,430,430,52,446,446,45,489,489,,,,2639,7,8,2016
52.,BOUCHAUD Michaël,France,MKK,170,238,238,67,332,332,53,447,447,119,281,281,58,416,416,36,506,506,52,467,467,48,436,436,2604,8,8,2016
53.,Veronika Macků,Czech Rep.,Pherenike,60,377,377,54,359,359,270,177,177,78,372,372,47,448,448,138,271,271,33,532,532,39,500,500,2588,8,8,2016
54.,Denis Auroux,France,auroux,93,317,317,43,383,383,114,307,307,65,411,411,65,392,392,54,445,445,59,446,446,49,429,429,2506,8,8,2016
55.,Mark Goodliffe,UK,magoo,52,406,406,118,238,238,44,475,475,45,481,481,121,281,281,105,313,313,35,531,531,,,,2487,7,8,2016
56.,Zoran Tanasic,Serbia,zorant,65,374,374,,,,51,448,448,53,437,437,83,351,351,,,,76,397,397,45,449,449,2456,6,8,2016
57.,Zimmermann Thomas,Germany,ThomasKostolany,55,389,389,50,368,368,60,411,411,96,324,324,93,338,338,68,394,394,48,474,474,54,412,412,2448,8,8,2016
58.,Hawel Manuela,Austria,,160,241,241,57,351,351,174,252,252,77,372,372,74,366,366,34,506,506,60,446,446,68,373,373,2414,8,8,2016
59.,Gabriel Gan,Singapore,rongde96,82,335,335,76,309,309,71,378,378,80,371,371,134,267,267,43,473,473,57,459,459,62,388,388,2404,8,8,2016
60.,Karin Griffioen,Netherlands,,48,432,432,55,357,357,,,,48,465,465,102,317,317,89,339,339,78,393,393,64,386,386,2372,7,8,2016
61.,Agnieszka Buczma,Poland,agabum,91,326,326,97,270,270,73,377,377,32,534,534,80,354,354,81,364,364,92,350,350,65,382,382,2361,8,8,2016
62.,Roberto Lee,Taiwan,robertolee,115,283,283,56,351,351,64,403,403,59,425,425,82,351,351,58,422,422,73,408,408,89,317,317,2360,8,8,2016
63.,Frédéric PREVOT,France,Ours Blanc,67,363,363,83,289,289,50,456,456,93,343,343,96,332,332,57,433,433,69,424,424,,,,2351,7,8,2016
64.,Will Blatt,USA,willwc,54,395,395,31,446,446,52,448,448,47,472,472,41,489,489,294,94,94,,,,,,,2344,6,8,2016
65.,Claudine Thiry,Luxembourg,dodine,78,340,340,120,236,236,144,272,272,,,,71,377,377,47,467,467,50,468,468,55,407,407,2331,7,8,2016
66.,Heather Golding,UK,,83,332,332,74,322,322,69,381,381,66,408,408,46,469,469,61,411,411,,,,,,,2323,6,8,2016
67.,Ragnar Kruberg,Estonia,Krubi,75,355,355,46,380,380,101,319,319,122,280,280,139,258,258,46,467,467,61,441,441,74,351,351,2313,8,8,2016
68.,Ma Menglei,China,Lei7m,,,,,,,54,441,441,,,,61,399,399,16,702.2,702.2,10,754,754,,,,2296.2,4,8,2016
69.,Karel Sterba,Czech Rep.,chlien,84,330,330,,,,87,341,341,,,,90,343,343,90,339,339,46,487,487,46,446,446,2286,6,8,2016
70.,Jana Hanzelkova,Czech Rep.,Tydela,58,381,381,59,344,344,141,274,274,67,399,399,81,354,354,63,406,406,98,338,338,61,391,391,2275,8,8,2016
71.,Dan Katz,USA,Spelvin,105,300,300,89,284,284,66,403,403,82,367,367,52,438,438,,,,71,413,413,73,353,353,2274,7,8,2016
72.,Annick Weyzig,Netherlands,sojaboon,46,449,449,35,407,407,,,,34,508,508,45,487,487,59,422,422,,,,,,,2273,5,8,2016
73.,Laura Tarchetti,Italy,fenicia,64,377,377,75,317,317,110,312,312,83,363,363,94,333,333,69,394,394,80,387,387,52,415,415,2269,8,8,2016
74.,Xiao Wei Huang,China,xiao01wei,220,195,195,125,233,233,61,407,407,63,414,414,49,446,446,126,284,284,96,340,340,67,375,375,2266,8,8,2016
75.,Johnny Neville,USA,J.N.,,,,,,,,,,23,627.2,627.2,44,487,487,,,,22,593.1,593.1,34,534,534,2241.3,4,8,2016
76.,Felezeu Mihai,Germany,felezeu 1,50,411,411,199,172,172,56,441,441,102,307,307,95,333,333,74,383,383,106,309,309,185,180,180,2184,8,8,2016
77.,Henning Kalsgaard Poulsen,Denmark,Kalsgaard,114,283,283,79,291,291,86,341,341,79,371,371,170,228,228,62,407,407,65,437,437,84,328,328,2175,8,8,2016
78.,Jaipal Reddy,India,mjaipal,74,356,356,80,291,291,63,405,405,86,362,362,76,363,363,91,333,333,95,344,344,76,345,345,2175,8,8,2016
79.,Anne Limoges,France,,66,371,371,129,231,231,81,354,354,46,478,478,77,361,361,115,295,295,,,,99,299,299,2158,7,8,2016
80.,Kerstin Wöge,Germany,,53,401,401,66,332,332,175,252,252,111,294,294,79,358,358,72,386,386,94,346,346,,,,2117,7,8,2016
81.,Vittorio Schiavone,Italy,Moso,121,281,281,128,231,231,120,300,300,105,303,303,57,420,420,119,292,292,44,490,490,254,103,103,2086,8,8,2016
82.,Jiri Hrdina,Czech Rep.,jhrdina,89,328,328,34,420,420,,,,95,327,327,106,308,308,143,267,267,,,,53,415,415,2065,6,8,2016
83.,pitchaya apichetyota,Thailand,ryuryuryu,140,261,261,106,261,261,97,323,323,71,386,386,116,290,290,86,348,348,86,373,373,81,334,334,2054,8,8,2016
84.,Anna Wąsowska,Poland,ancyna,119,283,283,124,234,234,83,345,345,75,379,379,48,446,446,112,305,305,123,280,280,104,294,294,2052,8,8,2016
85.,Gaurav Kumar Jain,India,Gaurav,107,293,293,38,392,392,89,341,341,129,275,275,337,59,59,60,415,415,103,325,325,118,281,281,2047,8,8,2016
86.,Pawel Kepczynski,Poland,pafcio,96,317,317,72,323,323,152,268,268,33,517,517,182,211,211,,,,72,410,410,,,,2046,6,8,2016
87.,Vasso Kalaitzidou,Greece,vasso,283,151,151,85,289,289,75,367,367,62,421,421,100,321,321,104,315,315,102,328,328,108,291,291,2043,8,8,2016
88.,Haruka Oishi,Japan,thirtyeight,77,347,347,117,244,244,58,425,425,191,212,212,118,288,288,32,519,519,,,,,,,2035,6,8,2016
89.,自 然,China,zrlyg,134,266,266,48,377,377,108,313,313,98,321,321,60,401,401,239,172,172,100,337,337,127,252,252,2015,8,8,2016
90.,Christoph Seeliger,Germany,Realshaggy,120,282,282,91,282,282,105,316,316,177,223,223,89,343,343,88,340,340,,,,44,451,451,2014,7,8,2016
91.,Dave Baines,Canada,StandupCanada,63,377,377,112,251,251,165,258,258,68,397,397,,,,75,376,376,,,,79,339,339,1998,6,8,2016
92.,Raul Kacirek,Czech Rep.,Caca,85,330,330,105,262,262,84,342,342,198,201,201,112,298,298,93,331,331,79,393,393,96,303,303,1997,8,8,2016
93.,Rajesh Kumar,India,,109,289,289,176,191,191,80,354,354,54,436,436,72,374,374,84,349,349,,,,,,,1993,6,8,2016
94.,Yuji Yamamoto,Japan,utime,80,339,339,110,253,253,149,270,270,84,363,363,67,390,390,80,367,367,,,,,,,1982,6,8,2016
95.,Peter Hornak,Slovakia,petho,103,303,303,,,,96,326,326,91,344,344,113,294,294,71,394,394,161,232,232,101,297,297,1958,7,8,2016
96.,Grayson Holmes,USA,,90,327,327,53,366,366,115,306,306,156,242,242,70,377,377,167,233,233,137,256,256,94,306,306,1938,8,8,2016
97.,Torsten Rogoll,Germany,,95,317,317,104,264,264,92,330,330,121,281,281,111,301,301,109,310,310,,,,63,387,387,1926,7,8,2016
98.,Matteo Testa,Italy,,126,272,272,68,331,331,78,355,355,174,225,225,168,228,228,141,271,271,75,398,398,107,293,293,1920,8,8,2016
99.,ripoll michel,France,SUDOMICH,178,228,228,150,219,219,65,403,403,92,344,344,159,239,239,95,328,328,135,260,260,86,321,321,1895,8,8,2016
100.,Marek Kasár,Slovakia,markas999,100,307,307,82,289,289,107,313,313,116,287,287,108,301,301,144,263,263,88,371,371,102,296,296,1877,8,8,2016
#,Name,Country,Nick,GP_t1 position,GP_t1 points,GP_t1 rank. points,GP_t2 position,GP_t2 points,GP_t2 rank. points,GP_t3 position,GP_t3 points,GP_t3 rank. points,GP_t4 position,GP_t4 points,GP_t4 rank. points,GP_t5 position,GP_t5 points,GP_t5 rank. points,GP_t6 position,GP_t6 points,GP_t6 rank. points,GP_t7 position,GP_t7 points,GP_t7 rank. points,GP_t8 position,GP_t8 points,GP_t8 rank. points,Points,Played GPs,Total GPs,2016
101.,Jaan Laks,Estonia,salmo,147,247,247,143,222,222,172,253,253,70,390,390,86,347,347,123,290,290,113,298,298,109,290,290,1868,8,8,2016
102.,Elena Aivazopoulou,Greece,,123,280,280,86,288,288,148,271,271,135,266,266,142,256,256,130,277,277,62,441,441,90,311,311,1868,8,8,2016
103.,Radek Lopusnik,USA,radekivv,111,288,288,99,267,267,95,328,328,132,271,271,87,346,346,133,273,273,154,239,239,77,340,340,1846,8,8,2016
104.,Michal Matyska,Czech Rep.,mtronic,141,260,260,65,333,333,310,146,146,55,432,432,84,351,351,131,275,275,,,,189,178,178,1829,7,8,2016
105.,Martina Machackova,Czech Rep.,Madla,92,325,325,77,309,309,85,341,341,106,302,302,158,239,239,116,294,294,139,254,254,136,251,251,1825,8,8,2016
106.,John Reid,USA,john_reid,97,310,310,126,233,233,111,309,309,,,,91,341,341,134,272,272,,,,72,359,359,1824,6,8,2016
107.,Zdenka Pácalová,Czech Rep.,zdenkap,130,268,268,139,226,226,285,159,159,133,270,270,88,346,346,92,333,333,128,273,273,83,329,329,1819,8,8,2016
108.,Natália Chanová,Slovakia,natalka,112,284,284,149,219,219,127,293,293,97,323,323,105,312,312,110,310,310,,,,114,285,285,1807,7,8,2016
109.,Christof Bruetsch,Switzerland,chrishy,102,303,303,151,219,219,347,115,115,152,244,244,110,301,301,94,328,328,83,379,379,138,251,251,1806,8,8,2016
110.,Yuki Kajihara,Japan,Shiraoka,211,200,200,,,,103,319,319,128,275,275,107,308,308,111,306,306,91,352,352,151,226,226,1786,7,8,2016
111.,Aashay Patil,India,aashay,,,,138,226,226,143,272,272,115,289,289,179,218,218,,,,84,379,379,58,399,399,1783,6,8,2016
112.,Jaroslav Grajciar,Slovakia,Neky,146,251,251,196,177,177,160,264,264,294,126,126,92,340,340,78,369,369,145,251,251,91,308,308,1783,8,8,2016
113.,Gianluca Mancuso,Italy,ingmanc,106,299,299,154,210,210,129,291,291,142,257,257,231,169,169,155,244,244,122,281,281,66,376,376,1748,8,8,2016
114.,Lubos Hyzak,Slovakia,,249,171,171,,,,122,300,300,114,289,289,117,288,288,65,400,400,,,,98,299,299,1747,6,8,2016
115.,Jana Novotná,Czech Rep.,tojejedno,30,519,519,,,,,,,,,,,,,28,584.9,584.9,,,,22,642,642,1745.9,3,8,2016
116.,Věra Šramková,Czech Rep.,jolly,122,280,280,115,248,248,417,23,23,275,136,136,197,192,192,101,320,320,70,417,417,112,288,288,1745,8,8,2016
117.,Margit Ool,Estonia,pargitool,152,246,246,173,193,193,259,186,186,87,351,351,334,66,66,77,373,373,,,,60,392,392,1741,7,8,2016
118.,Chiara Nuzio,Italy,lupurk,139,261,261,130,230,230,74,377,377,137,262,262,66,390,390,253,152,152,181,203,203,156,216,216,1736,8,8,2016
119.,Adam Bissett,UK,,434,42,42,280,126,126,112,309,309,158,237,237,,,,125,285,285,68,429,429,75,348,348,1734,7,8,2016
120.,Rado Bo4ev,Bulgaria,tres4o,174,235,235,119,238,238,183,240,240,90,346,346,178,218,218,118,294,294,109,306,306,93,306,306,1730,8,8,2016
121.,Jackie Anderson,USA,jackie,172,236,236,102,265,265,100,321,321,108,301,301,166,230,230,,,,93,350,350,124,256,256,1729,7,8,2016
122.,Yuka Jo,Japan,melvy,173,236,236,296,119,119,119,302,302,141,261,261,98,324,324,85,349,349,180,203,203,148,235,235,1707,8,8,2016
123.,Satoshi Ando,Japan,aldentea,71,359,359,70,330,330,146,272,272,,,,172,223,223,,,,152,240,240,116,282,282,1706,6,8,2016
124.,stefano forcolin,Italy,sf2l,127,272,272,333,96,96,99,321,321,100,311,311,156,240,240,128,279,279,133,264,264,152,226,226,1687,8,8,2016
125.,Shinichi Aoki,Japan,,,,,69,331,331,,,,64,414,414,63,392,392,,,,162,223,223,87,319,319,1679,5,8,2016
126.,P. Havlinova,Czech Rep.,myrna,,,,167,200,200,76,356,356,273,138,138,130,272,272,79,367,367,157,234,234,140,248,248,1677,7,8,2016
127.,Gabriele Carelli,Italy,GaS,221,195,195,168,200,200,209,224,224,109,298,298,85,350,350,129,279,279,105,313,313,,,,1664,7,8,2016
128.,Bram van Heuveln,Netherlands,bram28,76,355,355,162,205,205,82,352,352,279,134,134,114,291,291,97,323,323,,,,,,,1660,6,8,2016
129.,Mike Colloby,UK,,230,190,190,131,230,230,187,237,237,136,265,265,176,219,219,102,317,317,110,304,304,97,301,301,1654,8,8,2016
130.,Olga Diaz,Spain,,164,241,241,121,236,236,170,255,255,112,294,294,120,284,284,100,321,321,193,190,190,126,253,253,1648,8,8,2016
131.,Petra Čičová,Czech Rep.,,87,329,329,109,256,256,94,328,328,159,234,234,,,,165,234,234,147,245,245,139,249,249,1641,7,8,2016
132.,Tom Krejčí,Czech Rep.,tierra,224,193,193,200,172,172,104,318,318,,,,129,273,273,154,245,245,90,358,358,128,252,252,1639,7,8,2016
133.,Vladimir Portugalov,Belarus,forsmarts,110,288,288,186,186,186,218,220,220,238,170,170,103,316,316,,,,134,263,263,70,365,365,1638,7,8,2016
134.,Miroslav Salaga,Slovakia,macko,165,241,241,179,190,190,125,293,293,193,208,208,244,164,164,108,310,310,111,300,300,113,285,285,1637,8,8,2016
135.,Jérôme LACOSTE,France,geronimo92,162,241,241,198,174,174,124,295,295,167,225,225,171,225,225,149,255,255,97,338,338,122,268,268,1622,8,8,2016
136.,yong seok Choi,"Korea, South",EoHeongMat,,,,103,264,264,79,354,354,81,371,371,,,,,,,81,384,384,153,225,225,1598,5,8,2016
137.,Ümit Volkan ÖZTÜRK,Turkey,volkirik,159,241,241,123,234,234,113,307,307,163,226,226,144,253,253,145,262,262,117,291,291,215,157,157,1588,8,8,2016
138.,Rakesh Rai,India,rakesh,57,384,384,61,338,338,225,212,212,342,83,83,215,175,175,,,,77,395,395,,,,1587,6,8,2016
139.,Ondrej Skoba,Czech Rep.,redkev,118,283,283,240,148,148,157,265,265,244,164,164,99,324,324,146,262,262,251,130,130,111,288,288,1586,8,8,2016
140.,Anthonis Noor,Belgium,,150,246,246,258,140,140,284,162,162,99,316,316,162,236,236,132,274,274,166,216,216,119,281,281,1569,8,8,2016
141.,pwmjhq pwmjhq,USA,,154,242,242,114,250,250,155,266,266,,,,104,312,312,,,,89,364,364,229,133,133,1567,6,8,2016
142.,Kentaro Sumigawa,Japan,smiken,135,265,265,148,220,220,163,263,263,184,215,215,131,269,269,179,218,218,138,254,254,115,283,283,1554,8,8,2016
143.,Karel Doskocil,Czech Rep.,carlos5,137,264,264,204,170,170,93,330,330,259,157,157,151,246,246,245,157,157,87,372,372,197,170,170,1552,8,8,2016
144.,Ibon Arregui,Spain,ibon,184,221,221,87,286,286,229,208,208,220,187,187,101,320,320,96,324,324,205,179,179,,,,1546,7,8,2016
145.,Chris Bean,USA,chrisb,144,254,254,100,267,267,173,252,252,233,174,174,136,267,267,173,226,226,124,278,278,,,,1544,7,8,2016
146.,Piotr Gdowski,Poland,wiaterek105.,32,482,482,71,329,329,46,473,473,147,249,249,,,,,,,,,,,,,1533,4,8,2016
147.,Rainer Biegler,Germany,HuDu,179,225,225,263,136,136,159,264,264,162,227,227,225,169,169,120,291,291,160,232,232,105,294,294,1533,8,8,2016
148.,Andrej Plaštiak,Slovakia,,,,,,,,33,511,511,36,508,508,,,,38,506,506,,,,,,,1525,3,8,2016
149.,Jonathan Rivet,USA,,56,387,387,73,322,322,68,387,387,57,427,427,,,,,,,,,,,,,1523,4,8,2016
150.,Ales Zaloznik,Slovenia,Aleš,186,220,220,111,252,252,106,316,316,130,273,273,188,204,204,151,254,254,258,125,125,,,,1519,7,8,2016
#,Name,Country,Nick,GP_t1 position,GP_t1 points,GP_t1 rank. points,GP_t2 position,GP_t2 points,GP_t2 rank. points,GP_t3 position,GP_t3 points,GP_t3 rank. points,GP_t4 position,GP_t4 points,GP_t4 rank. points,GP_t5 position,GP_t5 points,GP_t5 rank. points,GP_t6 position,GP_t6 points,GP_t6 rank. points,GP_t7 position,GP_t7 points,GP_t7 rank. points,GP_t8 position,GP_t8 points,GP_t8 rank. points,Points,Played GPs,Total GPs,2016
151.,Prezensky Istvan,Romania,logiprez,190,218,218,92,280,280,133,287,287,154,244,244,181,215,215,147,257,257,167,215,215,171,199,199,1501,8,8,2016
152.,Shambo Debnath,India,guddu,262,164,164,180,190,190,137,278,278,123,280,280,126,276,276,248,155,155,178,205,205,131,251,251,1480,8,8,2016
153.,Harmeet Singh,India,harmeet,138,262,262,259,140,140,128,292,292,,,,,,,136,272,272,208,177,177,85,328,328,1471,6,8,2016
154.,Puissant Emmanuel,France,Ciao Emmanuel,117,283,283,135,228,228,134,286,286,212,198,198,274,130,130,182,216,216,136,258,258,,,,1469,7,8,2016
155.,Külli Laks Vahemäe,Estonia,Volvo,149,247,247,181,190,190,,,,151,244,244,174,219,219,114,295,295,175,205,205,129,251,251,1461,7,8,2016
156.,Dimitris Kalafatis,Greece,,318,125,125,256,141,141,117,304,304,138,262,262,189,203,203,157,243,243,185,201,201,144,245,245,1458,8,8,2016
157.,Kristin Stearns,USA,DreamRose311,128,271,271,182,189,189,318,138,138,160,229,229,123,278,278,152,249,249,151,241,241,,,,1457,7,8,2016
